                               Prefix Verb     URI Pattern                                                         Controller#Action
                             ckeditor          /ckeditor                                                           Ckeditor::Engine
                                pdfjs          /pdfjs                                                              PdfjsViewer::Rails::Engine
                           admin_root GET      /admin(.:format)                                                    admin/dashboard#index
             admin_category_downloads GET      /admin/categories/:category_id/downloads(.:format)                  admin/downloads#index
                                      POST     /admin/categories/:category_id/downloads(.:format)                  admin/downloads#create
          new_admin_category_download GET      /admin/categories/:category_id/downloads/new(.:format)              admin/downloads#new
         edit_admin_category_download GET      /admin/categories/:category_id/downloads/:id/edit(.:format)         admin/downloads#edit
              admin_category_download GET      /admin/categories/:category_id/downloads/:id(.:format)              admin/downloads#show
                                      PATCH    /admin/categories/:category_id/downloads/:id(.:format)              admin/downloads#update
                                      PUT      /admin/categories/:category_id/downloads/:id(.:format)              admin/downloads#update
                                      DELETE   /admin/categories/:category_id/downloads/:id(.:format)              admin/downloads#destroy
                          admin_polls GET      /admin/polls(.:format)                                              admin/polls#index
                                      POST     /admin/polls(.:format)                                              admin/polls#create
                       new_admin_poll GET      /admin/polls/new(.:format)                                          admin/polls#new
                      edit_admin_poll GET      /admin/polls/:id/edit(.:format)                                     admin/polls#edit
                           admin_poll GET      /admin/polls/:id(.:format)                                          admin/polls#show
                                      PATCH    /admin/polls/:id(.:format)                                          admin/polls#update
                                      PUT      /admin/polls/:id(.:format)                                          admin/polls#update
                                      DELETE   /admin/polls/:id(.:format)                                          admin/polls#destroy
                      admin_dashboard GET      /admin/dashboard(.:format)                                          admin/dashboard#index
                   publish_admin_post PUT      /admin/posts/:id/publish(.:format)                                  admin/posts#publish
                 unpublish_admin_post PUT      /admin/posts/:id/unpublish(.:format)                                admin/posts#unpublish
                  featured_admin_post PUT      /admin/posts/:id/featured(.:format)                                 admin/posts#featured
                 unfeature_admin_post PUT      /admin/posts/:id/unfeature(.:format)                                admin/posts#unfeature
                          admin_posts GET      /admin/posts(.:format)                                              admin/posts#index
                                      POST     /admin/posts(.:format)                                              admin/posts#create
                       new_admin_post GET      /admin/posts/new(.:format)                                          admin/posts#new
                           admin_post GET      /admin/posts/:id(.:format)                                          admin/posts#show
                                      PATCH    /admin/posts/:id(.:format)                                          admin/posts#update
                                      PUT      /admin/posts/:id(.:format)                                          admin/posts#update
                          admin_users GET      /admin/users(.:format)                                              admin/users#index
                                      POST     /admin/users(.:format)                                              admin/users#create
                       new_admin_user GET      /admin/users/new(.:format)                                          admin/users#new
                      edit_admin_user GET      /admin/users/:id/edit(.:format)                                     admin/users#edit
                           admin_user GET      /admin/users/:id(.:format)                                          admin/users#show
                                      PATCH    /admin/users/:id(.:format)                                          admin/users#update
                                      PUT      /admin/users/:id(.:format)                                          admin/users#update
                         admin_events GET      /admin/events(.:format)                                             admin/events#index
                                      POST     /admin/events(.:format)                                             admin/events#create
                      new_admin_event GET      /admin/events/new(.:format)                                         admin/events#new
                     edit_admin_event GET      /admin/events/:id/edit(.:format)                                    admin/events#edit
                          admin_event GET      /admin/events/:id(.:format)                                         admin/events#show
                                      PATCH    /admin/events/:id(.:format)                                         admin/events#update
                                      PUT      /admin/events/:id(.:format)                                         admin/events#update
                                      DELETE   /admin/events/:id(.:format)                                         admin/events#destroy
                    admin_suggestions GET      /admin/suggestions(.:format)                                        admin/suggestions#index
                                      POST     /admin/suggestions(.:format)                                        admin/suggestions#create
                 new_admin_suggestion GET      /admin/suggestions/new(.:format)                                    admin/suggestions#new
                edit_admin_suggestion GET      /admin/suggestions/:id/edit(.:format)                               admin/suggestions#edit
